NODE_ID, EVENT_TYPE, EVENT_TIME, VOLTAGE, AMPERE, POWER_FACTOR, ACTIVE_POWER, APPARENT_POWER, AMOUNT_OF_ACTIVE_POWER
B35,1,2016-12-14T14:35:40,226.398,0.0442997,0.213972,1.534,10.0328,711.15
A14,1,2016-12-14T14:35:52,228.04,0.0442997,0.206158,1.522,10.1046,978.678
A0C,1,2016-12-14T14:35:55,228.824,0.0442997,0.14779,1.859,10.6197,1465.85
B38,1,2016-12-14T14:36:09,226.548,0.0464092,0.185801,1.698,10.0366,971.386
B36,1,2016-12-14T14:36:16,226.622,0.0442997,0.168288,1.67,10.0417,1119.52
B39,1,2016-12-14T14:36:36,227.033,0.0464092,0.185801,1.596,10.0568,61862.9
A12,1,2016-12-14T14:37:11,229.383,0.0442997,0.138985,1.732,10.6411,945.504
A19,1,2016-12-14T14:37:13,229.197,0.0464092,0.150723,1.588,10.6373,1092.02
B2E,1,2016-12-14T14:37:26,224.496,0.0442997,0.124286,1.694,10.4132,477.437
B2A,1,2016-12-14T14:37:28,224.048,0.0464092,0.174132,1.715,9.92329,916.105
A1C,1,2016-12-14T14:37:29,228.674,0.0442997,0.182886,1.506,10.1286,64.0338
B39,1,2016-12-14T14:37:35,227.07,0.0442997,0.220644,2.075,10.5366,61863.1
A31,1,2016-12-14T14:37:43,224.458,0.0442997,0.144856,1.72,10.4132,49.8835
A3A,1,2016-12-14T14:37:48,230.241,0.0464092,0.21986,1.805,10.6864,219.956
A0D,1,2016-12-14T14:38:16,229.047,0.0464092,0.0622888,1.662,10.6323,367.5
B3E,1,2016-12-14T14:38:25,223.6,0.0442997,0.127228,1.548,9.9044,1106.63
B39,1,2016-12-14T14:38:34,226.771,0.0464092,0.205125,1.564,10.048,61863.2
B20,1,2016-12-14T14:38:43,224.234,0.0464092,0.240404,2.141,10.4056,352.579
A40,1,2016-12-14T14:38:47,228.786,0.0464092,0.222801,1.816,10.6184,1186.05
A43,1,2016-12-14T14:39:13,228.488,0.0442997,0.150723,1.592,10.1185,42.8785
B1F,1,2016-12-14T14:39:21,223.899,0.0442997,0.307104,1.762,9.91699,717.074
A16,1,2016-12-14T14:39:27,228.861,0.0464092,0.193303,1.735,10.6209,824.755
B39,1,2016-12-14T14:39:34,227.518,0.0442997,0.341338,2.054,10.5592,61863.3
A1D,1,2016-12-14T14:39:35,228.712,0.0464092,0.260842,1.666,10.6121,42.4371
B29,1,2016-12-14T14:39:57,224.831,0.0442997,0.174132,1.63,10.432,790.081
B39,1,2016-12-14T14:40:33,226.063,0.0442997,0.196261,1.845,10.0152,61863.4
A15,1,2016-12-14T14:41:25,228.637,0.0464092,0.315702,1.83,10.1286,1329.42
B22,1,2016-12-14T14:41:31,223.488,0.0442997,0.361104,1.801,9.90188,34.743
B39,1,2016-12-14T14:41:34,227.406,0.0442997,0.298481,1.948,10.0744,61863.5
A02,1,2016-12-14T14:41:42,229.943,0.0464092,0.228677,1.802,10.6675,1131.65
B27,1,2016-12-14T14:41:51,224.272,0.0442997,0.156583,1.413,9.46616,1174.73
B24,1,2016-12-14T14:42:22,224.794,0.0442997,0.118398,1.485,10.4308,1308.4
A18,1,2016-12-14T14:42:26,228.115,0.0485187,0.14779,1.779,11.0705,1346.62
B39,1,2016-12-14T14:42:33,226.063,0.0464092,0.252096,1.638,10.014,61863.6
B39,1,2016-12-14T14:43:34,226.958,0.0442997,0.209059,1.808,10.0568,61863.7
B23,1,2016-12-14T14:43:35,224.346,0.0442997,0.304233,2.09,9.9384,60.1611
B2C,1,2016-12-14T14:43:41,224.122,0.0442997,0.22574,1.543,9.45483,112.22
A10,1,2016-12-14T14:43:59,228.339,0.0442997,0.127228,1.859,10.1147,1300.32
