NODE_ID, EVENT_TYPE, EVENT_TIME, VOLTAGE, AMPERE, POWER_FACTOR, ACTIVE_POWER, REACTIVE_POWER, APPARENT_POWER, AMOUNT_OF_ACTIVE_POWER, ALS_LEVEL, DIMMING_LEVEL, VIBRATION_X, VIBRATION_Y, VIBRATION_Z, VIBRATION_MAX, NOISE_ORIGIN_DECIBEL, NOISE_ORIGIN_FREQUENCY, NOISE_DECIBEL, NOISE_FREQUENCY, GPS_LONGITUDE, GPS_LATITUDE, GPS_ALTITUDE, GPS_SATELLITE_COUNT
B39,1,2017-01-01T00:00:25,225.764,0.656058,0.98804,145.573,5410000,148.59,3571.024414,,,,,,,,,,,,,,
B20,1,2017-01-01T00:00:57,222.593,0.668715,0.969391,147.196,5410000,148.887,586.8205566,,,,,,,,,,,,,,
B29,1,2017-01-01T00:00:58,223.899,0.721452,0.972925,158.299,5410000,161.484,903.0631714,,,,,,,,,,,,,,
A18,1,2017-01-01T00:01:00,222.145,0.727781,0.990668,160.897,5410000,161.821,883.8552856,,,,,,,,,,,,,,
A02,1,2017-01-01T00:01:06,224.943,0.675043,0.988952,150.251,5410000,151.848,671.3947144,,,,,,,,,,,,,,
B39,1,2017-01-01T00:01:25,225.316,0.658167,0.9885,147.176,5410000,148.363,3580.251465,,,,,,,,,,,,,,
A43,1,2017-01-01T00:01:33,225.689,0.656058,0.989394,145.867,5410000,147.925,576.7046509,,,,,,,,,,,,,,
B26,1,2017-01-01T00:01:34,220.317,0.677153,0.990252,145.994,5410000,149.243,608.2251587,,,,,,,,,,,,,,
A13,1,2017-01-01T00:01:36,0,0,1,0,0,0,0,,,,,,,,,,,,,,
B1F,1,2017-01-01T00:01:41,222.891,0.694029,0.989828,151.048,5410000,153.759,727.7190552,,,,,,,,,,,,,,
B36,1,2017-01-01T00:01:46,227.107,0.658167,0.9885,146.938,5410000,150.02,614.7849121,,,,,,,,,,,,,,
B38,1,2017-01-01T00:01:46,226.398,0.660277,0.989394,146.855,5410000,149.356,612.2091064,,,,,,,,,,,,,,
A1D,1,2017-01-01T00:01:49,226.846,0.656058,0.968658,145.724,5410000,148.492,598.2539673,,,,,,,,,,,,,,
A02,65,2017-01-01T00:01:56,,,,,,,,,,,,,,,,,,129.045,35.21,151.3,10
A40,1,2017-01-01T00:01:59,214.086,0.696138,0.991075,146.34,5410000,149.066,614.7702026,,,,,,,,,,,,,,
A3B,1,2017-01-01T00:02:08,213.079,0.748876,0.994951,158.897,5410000,159.645,3894.947021,,,,,,,,,,,,,,
A15,1,2017-01-01T00:02:09,220.056,0.679262,0.990252,146.042,5410000,149.042,612.8204346,,,,,,,,,,,,,,
B33,1,2017-01-01T00:02:11,227.406,0.651839,0.98757,145.168,5410000,148.393,584.2440186,,,,,,,,,,,,,,
B34,1,2017-01-01T00:02:14,227.779,0.651839,0.9885,145.641,5410000,148.93,592.1516113,,,,,,,,,,,,,,
B3F,1,2017-01-01T00:02:18,222.518,0.727781,0.990252,158.639,5410000,161.596,920.9262085,,,,,,,,,,,,,,
A0E,1,2017-01-01T00:02:20,213.713,0.694029,0.972925,146.411,5410000,148.264,599.6811523,,,,,,,,,,,,,,
A11,1,2017-01-01T00:02:25,215.466,0.694029,0.974278,148.367,5410000,149.5,628.539978,,,,,,,,,,,,,,
B39,1,2017-01-01T00:02:25,226.361,0.656058,0.968658,146.264,5410000,148.543,3589.479004,,,,,,,,,,,,,,
A2F,1,2017-01-01T00:02:26,221.436,0.668715,0.968658,146.486,5410000,148.152,589.7611084,,,,,,,,,,,,,,
